run,minR,repetition,Module,Packets Sent,SF,TotalEnergyConsumed,TP,X,Y
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[0],582,12,0.104890368,8,-3217.5981958424,-1879.6223542272
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[1],679,10,0.0367116288,12,1654.4069468981,1633.471348295
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[2],581,12,0.104710144,4,1787.1703823211,-3252.3694697568
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[3],589,12,0.106151936,2,358.73826777986,3841.7148889946
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[4],679,9,0.020395349333333,2,1143.5411265012,1362.2050494171
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[5],547,12,0.098582528,12,2330.0272619996,3108.6458775618
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[6],628,11,0.061734912,3,887.55074389109,2622.9241258918
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[7],556,12,0.100204544,10,-2431.4638164498,-2092.8714875893
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8],606,11,0.059572224,12,312.72467425623,2710.9023047721
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9],558,12,0.100564992,7,757.17340856336,3837.6263061226
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[10],597,11,0.058687488,11,2932.3613587145,-800.99015173353
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[11],637,11,0.062619648,8,-397.57388002542,-2845.0333434026
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[12],574,12,0.103448576,9,3428.8605615038,1911.7999216357
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[13],671,9,0.020155050666667,8,-838.60632421352,-1154.2808300571
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[14],566,12,0.102006784,3,-3215.3176399773,2380.0028905606
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[15],615,11,0.06045696,7,-2.0152097536063,-2717.0955227873
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[16],702,7,0.0067777097142857,13,-30.714342407191,-890.08337640683
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[17],668,11,0.065667072,2,-1029.9204659512,2288.6007841348
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[18],719,7,0.0069418422857143,9,-219.16454659666,475.44021277876
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[19],700,8,0.0118272,11,-1044.8770458606,192.25977957792
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[20],645,11,0.06340608,13,1416.028343421,2504.5729863404
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[21],698,9,0.020966058666667,3,382.86938474586,-1342.6904855646
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[22],551,12,0.099303424,14,1423.5440842122,-3769.1621718411
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[23],665,11,0.06537216,9,1193.3699744296,-2415.9987692108
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[24],562,12,0.101285888,7,3243.4913252344,1424.4143260916
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[25],578,12,0.104169472,5,1560.8808056711,2808.2278375305
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[26],638,11,0.062717952,11,-617.41268329857,-2693.6268071345
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[27],563,12,0.101466112,3,-2255.9514510369,-3152.7238578731
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[28],565,12,0.10182656,14,-3098.5843066143,1444.6927454686
