run,minR,repetition,Module,Packets Sent,SFF,TotalEnergyConsumed,TP,X,Y
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[0],582,11,0.104890368,8,-3217.598196,-1879.622354
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[1],679,8,0.036711629,12,1654.406947,1633.471348
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[2],581,11,0.104710144,4,1787.170382,-3252.36947
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[3],589,11,0.106151936,2,358.7382678,3841.714889
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[4],679,8,0.020395349,2,1143.541127,1362.205049
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[5],547,11,0.098582528,12,2330.027262,3108.645878
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[6],628,10,0.061734912,3,887.5507439,2622.924126
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[7],556,11,0.100204544,10,-2431.463816,-2092.871488
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[8],606,10,0.059572224,12,312.7246743,2710.902305
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9],558,11,0.100564992,7,757.1734086,3837.626306
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[10],597,10,0.058687488,11,2932.361359,-800.9901517
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[11],637,10,0.062619648,8,-397.57388,-2845.033343
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[12],574,11,0.103448576,9,3428.860562,1911.799922
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[13],671,8,0.020155051,8,-838.6063242,-1154.28083
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[14],566,11,0.102006784,3,-3215.31764,2380.002891
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[15],615,10,0.06045696,7,-2.015209754,-2717.095523
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[16],702,7,0.00677771,13,-30.71434241,-890.0833764
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[17],668,10,0.065667072,2,-1029.920466,2288.600784
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[18],719,7,0.006941842,9,-219.1645466,475.4402128
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[19],700,8,0.0118272,11,-1044.877046,192.2597796
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[20],645,10,0.06340608,13,1416.028343,2504.572986
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[21],698,8,0.020966059,3,382.8693847,-1342.690486
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[22],551,11,0.099303424,14,1423.544084,-3769.162172
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[23],665,10,0.06537216,9,1193.369974,-2415.998769
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[24],562,11,0.101285888,7,3243.491325,1424.414326
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[25],578,11,0.104169472,5,1560.880806,2808.227838
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[26],638,10,0.062717952,11,-617.4126833,-2693.626807
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[27],563,11,0.101466112,3,-2255.951451,-3152.723858
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[28],565,11,0.10182656,14,-3098.584307,1444.692745
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[29],696,9,0.037630771,2,2002.863662,857.525589
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[30],547,11,0.098582528,5,168.7822415,-4247.032203
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[31],592,11,0.106692608,5,3743.75855,-1420.497264
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[32],562,11,0.101285888,7,908.8949993,-3324.934157
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[33],575,11,0.1036288,10,-2295.018257,-2362.147548
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[34],644,10,0.063307776,3,1506.709485,-2609.817433
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[35],571,11,0.102907904,5,-3141.062186,-1155.049837
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[36],556,11,0.100204544,2,4223.432869,-75.78437086
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[37],614,10,0.060358656,5,2121.923897,-1975.293624
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[38],575,11,0.1036288,7,1697.609981,2919.353145
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[39],637,10,0.062619648,6,2354.862526,-1754.117114
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[40],687,9,0.037144166,10,386.420252,2191.962039
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[41],699,8,0.020996096,7,995.8700629,1050.680516
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[42],594,11,0.107053056,8,2614.845367,2941.788647
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[43],626,8,0.033846067,5,1500.128215,-1689.345983
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[44],562,11,0.101285888,10,-2160.470239,2930.082033
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[45],586,11,0.105611264,11,-1078.826586,-3780.469522
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[46],564,11,0.101646336,8,2517.340631,2895.356344
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[47],673,8,0.036387226,2,1780.507481,574.8081538
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[48],575,11,0.1036288,5,-3758.180266,-40.5752053
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[49],686,7,0.006623232,14,492.0886275,-131.0964169
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[50],633,8,0.034224538,8,477.1423411,-2320.396874
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[51],568,11,0.102367232,14,-3805.768246,-773.0300536
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[52],563,11,0.101466112,14,-1708.746231,3007.751731
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[53],649,10,0.063799296,14,2200.260691,1673.172125
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[54],535,10,0.09641984,10,1175.130785,3375.026603
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[55],579,11,0.104349696,2,-199.433526,3351.648218
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[56],556,11,0.100204544,5,-3478.749144,-1722.014712
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[57],505,10,0.09101312,5,-3981.637729,1209.499739
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[58],580,11,0.10452992,12,2050.444383,-3207.087442
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[59],633,10,0.062226432,12,-825.1750006,-2403.082604
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[60],667,8,0.020034901,7,985.7748711,1085.364366
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[61],617,10,0.060653568,9,2823.219727,34.29434204
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[62],559,11,0.100745216,4,-705.2552852,-3125.559137
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[63],674,10,0.066256896,4,1035.836175,2720.286156
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[64],645,10,0.06340608,5,-1991.073433,1850.799432
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[65],751,8,0.012688896,13,-273.4430155,1188.901549
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[66],660,10,0.06488064,14,3008.739836,159.5962941
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[67],650,10,0.0638976,13,-432.7220901,2368.553434
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[68],571,11,0.102907904,4,-2886.480264,1531.660169
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[69],566,11,0.102006784,12,2758.043093,-1901.021669
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[70],693,8,0.020815872,9,-1151.481479,-1152.93882
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[71],677,8,0.036603494,7,1736.476415,677.5837354
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[72],576,11,0.103809024,4,2410.931842,3131.195116
